URL : http://127.0.0.1:5500/src/pages/about.html
Mobile Performance : 99
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 99
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/src/pages/contact.html
Mobile Performance : 100
Mobile Accessibility : 77
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 100
Desktop Accessibility : 77
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/src/pages/publication-entry.html
Mobile Performance : 99
Mobile Accessibility : 76
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 99
Desktop Accessibility : 76
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/src/pages/publications.html
Mobile Performance : 98
Mobile Accessibility : 72
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 99
Desktop Accessibility : 72
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/src/pages/services-IT-and-e-commerce.html
Mobile Performance : 100
Mobile Accessibility : 76
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 99
Desktop Accessibility : 76
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/src/pages/services.html
Mobile Performance : 99
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 98
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/src/pages/team-entry.html
Mobile Performance : 99
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 89
Desktop Performance : 99
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 89
URL : http://127.0.0.1:5500/src/pages/team.html
Mobile Performance : 99
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 99
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/src/index.html
Mobile Performance : 98
Mobile Accessibility : 77
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 96
Desktop Accessibility : 77
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/pages/about.html
Mobile Performance : 100
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 100
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/pages/contact.html
Mobile Performance : 100
Mobile Accessibility : 77
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 100
Desktop Accessibility : 77
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/pages/publication-entry.html
Mobile Performance : 99
Mobile Accessibility : 76
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 99
Desktop Accessibility : 76
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/pages/publications.html
Mobile Performance : 100
Mobile Accessibility : 72
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 99
Desktop Accessibility : 72
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/pages/services-IT-and-e-commerce.html
Mobile Performance : 99
Mobile Accessibility : 76
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 100
Desktop Accessibility : 76
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/pages/services.html
Mobile Performance : 99
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 100
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/pages/team-entry.html
Mobile Performance : 99
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 89
Desktop Performance : 100
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 89
URL : http://127.0.0.1:5500/build/pages/team.html
Mobile Performance : 99
Mobile Accessibility : 73
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 100
Desktop Accessibility : 73
Desktop Best Practices : 92
Desktop SEO : 92
URL : http://127.0.0.1:5500/build/index.html
Mobile Performance : 96
Mobile Accessibility : 77
Mobile Best Practices : 92
Mobile SEO : 92
Desktop Performance : 96
Desktop Accessibility : 77
Desktop Best Practices : 92
Desktop SEO : 92
